facility
Arlington Gardens CC
Auburn Oaks CC
Aviara HC
Beachwood PAR
Bishop CC
Canyon Springs PA
Canyon Vista PA
Copper Ridge HC
Coronado Heights SL
Cottonwood Canyon HC
Crystal Cove  CC
Crystal Ridge CC
Cypress Ridge CC
East Bay PA
Garden City HC
Highland Palms HC
Huntington Valley HC
La Mesa HC
La Paloma HC
Lincoln Meadows CC
Linwood Meadows CC
Marysville PA
McKinley Park CC
Midtown Oaks PA
Napa Valley CC
Newport Beach MC
Oak River Rehab
Oakwood Gardens CC
Peninsula PA
Pine Creek CC
Poway HC
Primrose PA
Redlands HC
Redwood Cove HC
Redwood Springs HC
Reo Vista HC
River Valley CC
Rock Creek CC
Rocky Point CC
Roseville CC
Sacramento PA
Sage Creek PA
San Diego PA
Stoney Point HC
Sunnyvale PAC
The Pines at Placerville HC
Trellis Centennial
Trellis Chino
University CC
Vasona Creek HC
Villa Las Palmas HC
Western Slope HC
Westgate Gardens CC
Westview HC
White Blossom CC
Whitney Oaks CC
Wolf Creek CC
Yuba City PA
